countryCode,id,name,code,typeId,typeName,startDate,endDate,year,requirements,funding,covidFunding,covidPercentageOfFunding
SYR,924,Syrian Arab Republic Humanitarian Response Plan 2020,HSYR20,4,Humanitarian response plan,2020-01-01,2020-12-31,2020,3817532832,2393501877,197579514,8
TCD,1028,Tchad Plan de Réponse Humanitaire 2021,HTCD21,4,Humanitarian response plan,2021-01-01,2021-12-31,2021,617522407,236212336,12744654,5
TCD,907,Tchad Plan de Réponse Humanitaire 2020,HTCD20,4,Humanitarian response plan,2020-01-01,2020-12-31,2020,664641160,303578355,58782066,19
TGO,994,Togo Plan de Réponse Intersectorielle COVID-19 2020,OTGO20,6,Other,2020-05-01,2020-12-31,2020,19757534,5190103,5190103,100
TTO,944,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2020,RREG20,111,Regional response plan,2020-01-01,2020-12-31,2020,59659922,5359553,250000,5
TUR,1020,Syrian Arab Republic Regional Refugee and Resilience Plan (3RP) 2021,RSYR21,111,Regional response plan,2021-01-01,2021-12-31,2021,1035041654,277716504,723043,0
TUR,943,Syrian Arab Republic Regional Refugee and Resilience Plan (3RP) 2020,RSYR20,111,Regional response plan,2020-01-01,2020-12-31,2020,1302418561,397718383,26956230,7
TZA,1092,Democratic Republic of the Congo Regional Refugee Response Plan 2022,RDRCRRP22,111,Regional response plan,2022-01-01,2022-12-31,2022,90315733,53144378,1069212,2
TZA,1001,Tanzania Intersectoral COVID-19 Response Plan 2020,OTZA20,6,Other,2020-05-01,2020-12-31,2020,158874105,20517877,18750377,91
TZA,945,Burundi Regional Refugee Response Plan 2020,RRWATZAUGA20,111,Regional response plan,2020-01-01,2020-12-31,2020,,21026335,3303976,16
TZA,946,Democratic Republic of the Congo Regional Refugee Response Plan 2020,RDRCRRP20,111,Regional response plan,2020-01-01,2020-12-31,2020,,6211462,6211462,100
UGA,1004,Uganda Intersectoral COVID-19 Response Plan 2020,OUGA20,6,Other,2020-05-01,2020-12-31,2020,200157127,33588509,32588509,97
UGA,947,South Sudan Regional Refugee Response Plan 2020,RETHKENUGA20,111,Regional response plan,2020-01-01,2020-12-31,2020,,28589450,11316608,40
UKR,1102,Ukraine Flash Appeal 2022,FUKR22,5,Flash appeal,2022-03-01,2022-12-31,2022,4292463880,3765217036,297776,0
UKR,1015,Ukraine Humanitarian Response Plan 2021,HUKR21,4,Humanitarian response plan,2021-01-01,2021-12-31,2021,167982922,106445580,4630064,4
UKR,830,Ukraine Humanitarian Response Plan 2020,HUKR20,4,Humanitarian response plan,2020-01-01,2020-12-31,2020,204653234,123841159,40810567,33
URY,944,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2020,RREG20,111,Regional response plan,2020-01-01,2020-12-31,2020,3993239,829723,289723,35
VEN,1029,Venezuela Plan de Respuesta Humanitaria 2021,HVEN21,4,Humanitarian response plan,2021-01-01,2021-12-31,2021,708098081,284585695,2855574,1
VEN,928,Venezuela Plan de Respuesta Humanitaria con Panorama de Necesidades 2020,HVEN20,4,Humanitarian response plan,2020-01-01,2020-12-31,2020,762509363,182209349,42895692,24
VEN,1007,GHRP (COVID) Unallocated supplementary NGO envelope 2020,OGLBL20a,6,Other,2020-05-01,2020-12-31,2020,,6159855,6159855,100
YEM,1077,Yemen Humanitarian Response Plan 2022,HYEM22,4,Humanitarian response plan,2022-01-01,2022-12-31,2022,4271938417,2307564279,3859632,0
YEM,1024,Yemen Humanitarian Response Plan 2021,HYEM21,4,Humanitarian response plan,2021-01-01,2021-12-31,2021,3853456397,2424017859,32727397,1
YEM,925,Yemen Humanitarian Response Plan 2020,HYEM20,4,Humanitarian response plan,2020-01-01,2020-12-31,2020,3382681703,1991625512,281486805,14
ZMB,1092,Democratic Republic of the Congo Regional Refugee Response Plan 2022,RDRCRRP22,111,Regional response plan,2022-01-01,2022-12-31,2022,65179947,8172896,1050120,13
ZMB,1002,Zambia Intersectoral COVID-19 Response Plan 2020,OZMB20,6,Other,2020-05-01,2020-12-31,2020,125612928,13796362,12990862,94
ZMB,946,Democratic Republic of the Congo Regional Refugee Response Plan 2020,RDRCRRP20,111,Regional response plan,2020-01-01,2020-12-31,2020,,600000,600000,100
ZWE,1042,Zimbabwe Humanitarian Response Plan 2021,HZWE21,4,Humanitarian response plan,2021-01-01,2021-12-31,2021,506971461,86203940,2463794,3
ZWE,921,Zimbabwe Humanitarian Response Plan 2020,HZWE20,4,Humanitarian response plan,2020-01-01,2020-12-31,2020,800770933,213865809,35925432,17
