rank,config,train_sharpe,val_sharpe,gap,stopped_epoch,time_s
67,Shallow h=8 do=0.3 wd=0.05 lr=0.02,5.785,0.2382,5.5467,272,0.3
68,Tanh h=8 do=0.3 wd=0.1,1.7906,0.2113,1.5793,84,0.1
69,Linear lr=0.2 wd=0.001,1.2976,0.1418,1.1558,101,0.0
70,Shallow h=16 do=0.5 wd=0.05 lr=0.01,1.2416,-0.5958,1.8374,83,0.1
71,Bottleneck neck=4 do=0.3 wd=0.05,0.4099,-1.1058,1.5157,81,0.2
72,Shallow h=8 do=0.5 wd=0.05 lr=0.01,0.3147,-1.3661,1.6808,88,0.1
73,Bottleneck neck=3 do=0.5 wd=0.1,-1.0864,-1.6002,0.5138,83,0.2
74,Tanh h=4 do=0.3 wd=0.1,-0.3818,-2.4397,2.0579,95,0.1
75,"Deep h=8,4 do=0.4 wd=0.2",-2.3199,-2.7179,0.3979,81,0.1
76,Bottleneck neck=3 do=0.3 wd=0.1,-2.7079,-2.9565,0.2486,81,0.2
